                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.2584,                 1.4556,                 1.3875,                0.73231,                0.59365,                0.67633,                0.46035,                 1.2237,                 1.3075,                 1.3982,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.2433,                 1.4191,                 1.3798,                0.77082,                0.58296,                0.68669,                0.47439,                 1.2078,                 1.2165,                  1.394,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.2329,                 1.3706,                 1.3682,                0.80999,                0.58505,                0.71521,                0.48546,                  1.229,                 1.1962,                 1.3934,               0.009703,               0.009703,               0.009703
                     17,                 1.2236,                 1.3493,                  1.362,                0.73915,                 0.6118,                0.68903,                0.48991,                 1.1404,                 1.2031,                 1.3419,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.2075,                 1.3259,                 1.3538,                0.79656,                0.59727,                 0.6983,                0.49323,                 1.1511,                 1.1976,                 1.3465,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.2157,                  1.307,                 1.3611,                0.81092,                0.63685,                0.73344,                0.51905,                 1.1353,                 1.0997,                 1.3527,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.2057,                 1.2811,                  1.352,                0.79169,                0.55235,                0.67131,                0.47189,                 1.1565,                 1.2456,                 1.3515,              0.0096238,              0.0096238,              0.0096238
                     21,                  1.192,                 1.2423,                 1.3437,                0.79161,                0.63492,                0.72986,                0.50996,                 1.1889,                 1.1229,                 1.3769,               0.009604,               0.009604,               0.009604
                     22,                  1.189,                 1.2334,                 1.3408,                0.80005,                0.60797,                0.71738,                0.50944,                 1.1508,                 1.1406,                 1.3666,              0.0095842,              0.0095842,              0.0095842
                     23,                  1.169,                 1.2084,                 1.3311,                0.77024,                0.64981,                 0.7249,                0.51651,                 1.1136,                 1.0914,                 1.3269,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.1751,                 1.2006,                 1.3325,                0.74329,                 0.6249,                0.70411,                0.50487,                 1.1161,                 1.1565,                 1.3247,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.1661,                  1.175,                 1.3234,                0.76047,                0.63359,                0.71443,                0.50287,                 1.1355,                 1.1518,                  1.354,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.1625,                 1.1582,                 1.3186,                0.82576,                0.60935,                0.72341,                0.52419,                 1.1157,                 1.0926,                 1.3278,               0.009505,               0.009505,               0.009505
                     27,                  1.158,                 1.1522,                 1.3177,                0.81277,                0.63889,                 0.7364,                0.51931,                 1.1438,                 1.0796,                 1.3412,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.1511,                 1.1322,                 1.3185,                0.78331,                0.65398,                0.73539,                0.51547,                  1.163,                 1.0784,                 1.3631,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.1415,                 1.1179,                 1.3046,                 0.8072,                0.66993,                0.75167,                0.53286,                 1.1274,                 1.0361,                  1.369,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.1449,                 1.1096,                 1.3094,                0.77866,                0.66724,                0.74152,                0.52636,                 1.1299,                 1.0615,                 1.3492,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.1415,                 1.0916,                 1.3082,                 0.7769,                0.66781,                0.74334,                0.53001,                 1.1333,                  1.055,                 1.3492,               0.009406,               0.009406,               0.009406
                     32,                 1.1262,                 1.0869,                 1.2955,                0.78902,                0.65025,                0.74039,                0.52804,                 1.1175,                  1.046,                 1.3372,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.1244,                 1.0735,                 1.2947,                0.81316,                0.67182,                0.75562,                0.52805,                 1.1736,                0.99965,                 1.3809,              0.0093664,              0.0093664,              0.0093664
                     34,                  1.125,                 1.0782,                 1.3041,                0.80642,                0.65768,                0.75134,                0.53732,                 1.1238,                 1.0141,                 1.3497,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.1145,                 1.0538,                 1.2859,                0.80245,                0.64652,                0.74086,                 0.5189,                 1.1663,                 1.0429,                 1.3681,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.1105,                 1.0369,                 1.2917,                0.83101,                0.65442,                0.76143,                0.54098,                 1.1121,                0.99092,                  1.338,               0.009307,               0.009307,               0.009307
                     37,                 1.0976,                 1.0248,                 1.2724,                0.81906,                0.65041,                0.75253,                0.54593,                 1.0991,                 1.0043,                 1.3371,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.1034,                 1.0199,                 1.2793,                0.81301,                0.65362,                0.75239,                0.53364,                 1.1439,                 1.0033,                 1.3498,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.0961,                 1.0086,                 1.2794,                0.83368,                0.65722,                0.76206,                0.53828,                  1.149,                0.99269,                  1.351,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.1027,                 1.0034,                 1.2766,                0.79251,                0.67814,                0.75443,                0.53694,                 1.1224,                 1.0197,                 1.3499,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.0891,                0.98308,                 1.2678,                0.83676,                0.67388,                0.76135,                0.53628,                 1.1547,                0.99231,                 1.3693,               0.009208,               0.009208,               0.009208
                     42,                 1.0862,                0.98802,                 1.2684,                0.82705,                0.65954,                0.76459,                0.54696,                 1.1335,                0.98744,                 1.3564,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.0768,                0.97262,                 1.2636,                0.81773,                0.68259,                0.76248,                0.54429,                 1.1131,                0.98555,                 1.3357,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.0795,                0.96921,                 1.2644,                0.84251,                0.65162,                0.75338,                0.53254,                 1.1481,                 1.0276,                 1.3655,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.0643,                0.95463,                 1.2556,                0.82272,                0.68487,                0.76142,                0.54263,                 1.1164,                 1.0038,                 1.3438,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.0701,                0.95081,                 1.2608,                0.80576,                0.67639,                 0.7588,                0.54095,                 1.1242,                0.98926,                  1.354,               0.009109,               0.009109,               0.009109
                     47,                 1.0639,                0.94709,                 1.2609,                 0.8263,                0.67387,                0.76569,                0.54532,                 1.1273,                0.98067,                 1.3444,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.0613,                0.94273,                 1.2525,                 0.8456,                0.64779,                0.76008,                0.54437,                 1.1125,                0.99592,                 1.3485,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.0672,                0.94489,                 1.2569,                 0.8284,                0.66605,                0.75409,                0.53989,                 1.1217,                 0.9857,                 1.3583,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.0622,                0.92952,                 1.2517,                0.78498,                0.68515,                0.76312,                0.54162,                 1.1255,                0.98501,                 1.3693,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0491,                0.91729,                 1.2401,                0.81091,                0.67634,                0.76523,                0.54236,                 1.1379,                0.98311,                 1.3585,                0.00901,                0.00901,                0.00901
                     52,                 1.0483,                0.91625,                 1.2429,                0.80583,                0.69043,                0.76918,                0.55386,                 1.1027,                 0.9808,                 1.3503,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0475,                0.92333,                 1.2436,                0.83929,                0.65658,                0.76054,                0.55082,                 1.1109,                0.96907,                 1.3443,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0408,                0.89499,                 1.2368,                0.78774,                0.68534,                0.75595,                 0.5428,                 1.1225,                0.99915,                 1.3441,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.0383,                0.90269,                 1.2407,                0.81816,                0.67168,                0.75651,                0.54134,                 1.1119,                 1.0022,                 1.3465,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.0388,                0.90255,                 1.2401,                 0.8137,                0.66669,                0.76371,                0.54351,                 1.1249,                0.97944,                 1.3522,               0.008911,               0.008911,               0.008911
                     57,                 1.0312,                0.88981,                 1.2307,                0.84096,                0.67008,                 0.7609,                0.54534,                 1.1107,                  0.977,                 1.3403,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.0229,                0.88528,                 1.2322,                0.77338,                0.69452,                0.76534,                0.54504,                 1.1057,                0.99839,                 1.3522,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.0291,                0.88239,                 1.2282,                0.84621,                0.67861,                0.77399,                0.54863,                 1.1342,                0.96972,                 1.3627,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.0216,                 0.8781,                   1.23,                0.82075,                0.66729,                0.76555,                0.54976,                 1.1204,                0.97352,                 1.3575,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.0164,                  0.874,                 1.2223,                 0.8336,                0.68618,                0.76757,                0.54992,                 1.1069,                0.96666,                 1.3488,               0.008812,               0.008812,               0.008812
                     62,                 1.0227,                0.86621,                 1.2246,                0.83016,                0.67304,                0.76998,                0.55047,                 1.1139,                0.96448,                 1.3582,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.0105,                0.86121,                 1.2185,                0.82703,                0.70343,                0.77568,                0.55161,                 1.1252,                 0.9517,                  1.356,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.0119,                0.85618,                  1.219,                 0.8392,                0.67756,                0.76984,                0.55489,                 1.1005,                0.96678,                 1.3531,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.0136,                0.85997,                 1.2205,                0.84831,                0.68613,                0.77204,                 0.5507,                 1.1188,                0.97376,                 1.3506,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.0099,                0.85817,                 1.2174,                 0.8505,                0.64919,                0.75937,                0.54739,                 1.1122,                0.99339,                 1.3461,               0.008713,               0.008713,               0.008713
                     67,                 1.0075,                0.84791,                 1.2178,                0.84638,                0.65936,                0.76234,                0.54779,                 1.1146,                0.96618,                 1.3642,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.0031,                0.85125,                 1.2148,                0.84476,                0.66751,                 0.7639,                0.54924,                 1.1385,                0.97939,                 1.3672,              0.0086734,              0.0086734,              0.0086734
                     69,                 0.9992,                0.83887,                 1.2128,                0.80713,                0.69321,                0.76622,                 0.5507,                 1.1185,                0.95972,                 1.3596,              0.0086536,              0.0086536,              0.0086536
                     70,                0.99901,                0.84228,                 1.2092,                0.83774,                0.68378,                 0.7746,                0.55207,                 1.1186,                0.92901,                 1.3559,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.0004,                0.84284,                 1.2169,                0.80834,                0.70529,                0.77748,                0.55767,                 1.1217,                0.92785,                 1.3658,               0.008614,               0.008614,               0.008614
                     72,                0.98799,                 0.8219,                 1.2011,                0.81906,                0.69351,                0.76954,                0.55315,                 1.1115,                0.97345,                 1.3588,              0.0085942,              0.0085942,              0.0085942
                     73,                0.99143,                0.82581,                 1.2079,                0.83453,                0.69003,                0.77444,                0.55682,                 1.1046,                0.95093,                 1.3542,              0.0085744,              0.0085744,              0.0085744
                     74,                0.98558,                0.82637,                 1.2063,                0.85167,                0.66846,                0.76364,                0.54646,                 1.1226,                0.98363,                 1.3664,              0.0085546,              0.0085546,              0.0085546
                     75,                0.99079,                0.83013,                 1.2075,                0.83031,                0.68091,                0.77007,                0.55393,                 1.1157,                0.95535,                 1.3666,              0.0085348,              0.0085348,              0.0085348
                     76,                0.98248,                0.81483,                 1.2016,                0.82528,                0.69885,                0.77551,                0.55745,                 1.1129,                0.95215,                 1.3591,               0.008515,               0.008515,               0.008515
                     77,                 0.9796,                0.81368,                 1.1969,                0.83444,                0.68943,                0.76992,                0.56005,                 1.0994,                0.94221,                 1.3551,              0.0084952,              0.0084952,              0.0084952
                     78,                0.97383,                0.80685,                 1.1904,                 0.8453,                0.67477,                0.76985,                0.55376,                 1.1191,                0.95033,                 1.3654,              0.0084754,              0.0084754,              0.0084754
                     79,                0.97668,                0.80692,                 1.1955,                0.82528,                0.67717,                0.76665,                0.55517,                 1.1145,                0.96215,                 1.3626,              0.0084556,              0.0084556,              0.0084556
                     80,                0.97859,                0.80673,                 1.2038,                0.81003,                0.70714,                0.77586,                0.55849,                 1.1125,                0.93241,                 1.3565,              0.0084358,              0.0084358,              0.0084358
                     81,                0.97232,                0.80388,                 1.1932,                0.81498,                0.68536,                 0.7688,                0.55355,                 1.1118,                0.94445,                  1.367,               0.008416,               0.008416,               0.008416
                     82,                0.97003,                0.80023,                 1.1906,                0.81912,                0.69095,                0.77083,                0.55603,                 1.0941,                 0.9495,                  1.358,              0.0083962,              0.0083962,              0.0083962
                     83,                0.96999,                0.80066,                 1.1915,                0.84959,                0.67087,                0.77422,                0.55406,                 1.1245,                0.94729,                 1.3711,              0.0083764,              0.0083764,              0.0083764
                     84,                0.96342,                0.79296,                 1.1831,                0.82977,                0.69449,                0.77783,                0.55875,                 1.1233,                0.95953,                 1.3805,              0.0083566,              0.0083566,              0.0083566
                     85,                 0.9611,                0.79068,                  1.187,                0.82091,                0.68451,                0.77455,                0.55918,                  1.114,                0.94108,                 1.3654,              0.0083368,              0.0083368,              0.0083368
                     86,                0.96123,                0.79543,                 1.1862,                0.82589,                0.68801,                0.77233,                 0.5556,                 1.1128,                0.95466,                 1.3698,               0.008317,               0.008317,               0.008317
                     87,                0.96323,                0.78812,                 1.1899,                0.84517,                0.68699,                0.77572,                 0.5616,                 1.0995,                0.93159,                  1.357,              0.0082972,              0.0082972,              0.0082972
                     88,                0.95642,                0.78494,                 1.1802,                0.82995,                0.68111,                0.77661,                0.55856,                 1.1119,                0.94525,                 1.3683,              0.0082774,              0.0082774,              0.0082774
                     89,                 0.9624,                0.78548,                 1.1898,                0.82898,                0.68766,                0.77427,                0.55664,                 1.1141,                0.93654,                 1.3725,              0.0082576,              0.0082576,              0.0082576
                     90,                0.95793,                0.78691,                 1.1866,                0.84438,                0.68837,                0.78058,                0.56448,                  1.107,                0.92339,                 1.3591,              0.0082378,              0.0082378,              0.0082378
                     91,                0.95213,                0.77095,                 1.1758,                 0.8302,                 0.6943,                 0.7771,                0.56501,                 1.1017,                0.92277,                 1.3617,               0.008218,               0.008218,               0.008218
                     92,                0.94841,                0.76672,                 1.1762,                0.82879,                0.69498,                0.77691,                0.55977,                 1.1173,                0.92842,                 1.3756,              0.0081982,              0.0081982,              0.0081982
                     93,                0.94766,                0.77677,                  1.177,                0.82274,                0.69296,                0.76882,                0.55834,                 1.1132,                0.92347,                 1.3698,              0.0081784,              0.0081784,              0.0081784
                     94,                0.93998,                0.76528,                 1.1737,                0.83293,                  0.688,                0.77351,                0.56012,                 1.1147,                0.93453,                 1.3664,              0.0081586,              0.0081586,              0.0081586
                     95,                0.94598,                0.77045,                 1.1782,                0.84526,                  0.676,                0.77494,                0.56334,                 1.1158,                0.92834,                 1.3689,              0.0081388,              0.0081388,              0.0081388
                     96,                0.93746,                0.76336,                 1.1705,                0.80709,                0.70791,                0.77642,                0.56042,                 1.1189,                0.92337,                 1.3772,               0.008119,               0.008119,               0.008119
                     97,                0.94064,                0.75832,                 1.1722,                0.83466,                0.69372,                 0.7742,                0.55964,                 1.1166,                0.93088,                 1.3777,              0.0080992,              0.0080992,              0.0080992
                     98,                0.94126,                0.76193,                 1.1732,                0.83431,                0.69816,                0.77534,                0.55798,                 1.1247,                0.94231,                 1.3851,              0.0080794,              0.0080794,              0.0080794
                     99,                0.93758,                 0.7545,                 1.1683,                0.82371,                0.70826,                0.77806,                0.55877,                 1.1232,                 0.9325,                 1.3867,              0.0080596,              0.0080596,              0.0080596
                    100,                0.93758,                0.75648,                 1.1696,                0.83543,                0.69319,                0.77726,                 0.5568,                 1.1194,                0.92705,                 1.3828,              0.0080398,              0.0080398,              0.0080398
                    101,                0.93646,                0.75487,                 1.1703,                0.84192,                0.69904,                0.77258,                0.55548,                 1.1208,                0.93929,                 1.3839,                0.00802,                0.00802,                0.00802
                    102,                0.93346,                0.74551,                 1.1667,                0.83445,                0.70394,                0.77168,                0.55764,                 1.1116,                 0.9208,                 1.3777,              0.0080002,              0.0080002,              0.0080002
                    103,                0.93212,                0.75338,                 1.1698,                0.83353,                0.69694,                0.77374,                0.55655,                 1.1184,                0.92995,                 1.3832,              0.0079804,              0.0079804,              0.0079804
                    104,                0.93188,                0.75067,                 1.1675,                 0.8353,                0.69375,                0.77074,                0.55683,                 1.1072,                0.92684,                 1.3762,              0.0079606,              0.0079606,              0.0079606
                    105,                 0.9278,                0.74818,                 1.1652,                0.83932,                0.68635,                0.77261,                0.55724,                 1.1057,                0.91937,                 1.3717,              0.0079408,              0.0079408,              0.0079408
                    106,                0.92404,                0.74845,                 1.1612,                  0.826,                0.69702,                0.77226,                0.55841,                 1.1018,                0.92326,                 1.3712,               0.007921,               0.007921,               0.007921
                    107,                0.92287,                0.73998,                 1.1616,                0.84654,                0.67754,                0.77802,                0.56039,                 1.1032,                0.90971,                 1.3786,              0.0079012,              0.0079012,              0.0079012
                    108,                0.92211,                0.73966,                 1.1575,                0.83954,                0.68989,                0.77982,                0.56359,                 1.1064,                0.90932,                 1.3805,              0.0078814,              0.0078814,              0.0078814
                    109,                0.92117,                0.74449,                 1.1644,                0.82568,                0.70173,                0.77567,                0.56099,                 1.1139,                0.91201,                 1.3855,              0.0078616,              0.0078616,              0.0078616
                    110,                0.92355,                0.73854,                  1.166,                0.85209,                0.68721,                0.77715,                0.56151,                 1.1158,                0.91807,                 1.3865,              0.0078418,              0.0078418,              0.0078418
                    111,                0.91552,                0.73194,                 1.1536,                0.83159,                 0.7003,                0.77331,                0.55899,                 1.1131,                0.92215,                 1.3825,               0.007822,               0.007822,               0.007822
                    112,                0.91569,                  0.736,                 1.1614,                0.83867,                0.69062,                0.77169,                0.55988,                 1.1139,                0.92814,                 1.3846,              0.0078022,              0.0078022,              0.0078022
                    113,                0.91501,                0.73463,                 1.1585,                0.80002,                0.71753,                0.76939,                0.55701,                  1.124,                0.92729,                 1.3936,              0.0077824,              0.0077824,              0.0077824
                    114,                0.91355,                0.73525,                 1.1563,                0.86312,                0.67406,                0.77019,                0.55858,                 1.1165,                 0.9309,                 1.3849,              0.0077626,              0.0077626,              0.0077626
                    115,                 0.9061,                0.72302,                 1.1509,                0.86034,                0.66291,                0.76395,                0.55505,                 1.1188,                0.94083,                  1.386,              0.0077428,              0.0077428,              0.0077428
                    116,                0.91234,                0.72919,                 1.1564,                0.83294,                0.68592,                0.76857,                0.55752,                  1.122,                0.93059,                 1.3903,               0.007723,               0.007723,               0.007723
                    117,                0.91177,                0.73372,                 1.1524,                0.85636,                0.67593,                0.76722,                0.55811,                 1.1158,                0.93273,                 1.3843,              0.0077032,              0.0077032,              0.0077032
                    118,                0.91119,                0.72968,                 1.1499,                0.84542,                0.68443,                0.77261,                0.56103,                 1.1119,                 0.9216,                 1.3808,              0.0076834,              0.0076834,              0.0076834
                    119,                0.90995,                0.72191,                 1.1522,                0.84128,                0.69195,                0.77465,                0.56219,                 1.1089,                 0.9104,                 1.3788,              0.0076636,              0.0076636,              0.0076636
                    120,                0.90255,                0.72133,                 1.1468,                0.84886,                0.69504,                0.78034,                0.56461,                 1.1064,                0.90927,                 1.3782,              0.0076438,              0.0076438,              0.0076438
                    121,                0.89699,                0.70921,                 1.1461,                0.84504,                0.69867,                0.77908,                  0.564,                 1.1047,                0.90672,                 1.3757,               0.007624,               0.007624,               0.007624
                    122,                0.90424,                0.72154,                 1.1502,                0.85847,                0.68619,                0.78072,                0.56441,                 1.1095,                0.90746,                 1.3802,              0.0076042,              0.0076042,              0.0076042
                    123,                0.89961,                0.71818,                 1.1477,                0.83625,                0.70417,                0.77964,                0.56381,                 1.1133,                0.91392,                 1.3804,              0.0075844,              0.0075844,              0.0075844
                    124,                0.89609,                0.71332,                 1.1398,                0.83788,                0.71129,                0.77918,                 0.5618,                 1.1147,                0.90987,                 1.3797,              0.0075646,              0.0075646,              0.0075646
                    125,                0.89921,                0.71729,                 1.1459,                0.83914,                 0.7053,                0.78041,                0.56512,                 1.1098,                0.90853,                  1.376,              0.0075448,              0.0075448,              0.0075448
                    126,                0.90844,                0.71987,                 1.1439,                0.83753,                0.70122,                0.77805,                0.56615,                 1.1089,                0.91103,                 1.3773,               0.007525,               0.007525,               0.007525
                    127,                0.89287,                0.70973,                 1.1389,                0.84089,                0.69981,                0.77717,                0.56533,                  1.108,                0.90763,                 1.3788,              0.0075052,              0.0075052,              0.0075052
                    128,                0.89009,                0.70764,                 1.1426,                0.84446,                0.69614,                0.77892,                 0.5656,                 1.1082,                0.90207,                 1.3793,              0.0074854,              0.0074854,              0.0074854
                    129,                0.89373,                0.71325,                 1.1437,                0.84263,                0.69392,                0.77871,                0.56607,                 1.1065,                0.91109,                  1.379,              0.0074656,              0.0074656,              0.0074656
                    130,                0.89487,                0.70644,                 1.1423,                0.83244,                 0.6996,                0.77763,                0.56488,                 1.1038,                 0.9091,                 1.3784,              0.0074458,              0.0074458,              0.0074458
                    131,                0.89358,                0.71286,                 1.1399,                0.85643,                0.68666,                0.77672,                0.56596,                 1.1024,                 0.9074,                 1.3768,               0.007426,               0.007426,               0.007426
                    132,                0.89042,                0.70185,                   1.14,                0.85573,                0.69239,                0.77773,                0.56582,                 1.1006,                0.90959,                 1.3751,              0.0074062,              0.0074062,              0.0074062
                    133,                0.88248,                0.69924,                 1.1412,                 0.8392,                 0.7018,                0.77817,                0.56674,                 1.1011,                0.90676,                  1.375,              0.0073864,              0.0073864,              0.0073864
                    134,                0.88727,                 0.7053,                 1.1389,                0.84073,                 0.7008,                 0.7813,                0.56592,                 1.1036,                0.90634,                 1.3771,              0.0073666,              0.0073666,              0.0073666
                    135,                0.88362,                0.69719,                 1.1372,                0.83796,                0.69888,                0.77977,                0.56669,                 1.1057,                0.90355,                 1.3799,              0.0073468,              0.0073468,              0.0073468
                    136,                0.89096,                0.70549,                 1.1394,                0.83365,                0.70071,                 0.7793,                0.56582,                 1.1098,                 0.9034,                 1.3835,               0.007327,               0.007327,               0.007327
                    137,                0.88446,                0.69658,                 1.1397,                0.83502,                0.69935,                0.77957,                0.56484,                 1.1104,                0.90231,                 1.3859,              0.0073072,              0.0073072,              0.0073072
                    138,                0.87643,                0.69339,                 1.1306,                0.83896,                0.69523,                0.77993,                0.56589,                 1.1109,                0.90027,                 1.3878,              0.0072874,              0.0072874,              0.0072874
                    139,                0.87649,                0.69009,                   1.13,                0.83045,                0.69903,                0.77796,                0.56349,                 1.1113,                0.90637,                 1.3908,              0.0072676,              0.0072676,              0.0072676
                    140,                0.87837,                0.69562,                 1.1338,                 0.8428,                0.69331,                 0.7772,                0.56365,                 1.1128,                0.90691,                 1.3913,              0.0072478,              0.0072478,              0.0072478
                    141,                0.88145,                0.69516,                 1.1328,                 0.8468,                0.68568,                0.77602,                0.56167,                 1.1148,                0.90427,                  1.392,               0.007228,               0.007228,               0.007228
                    142,                0.87903,                0.69667,                 1.1365,                0.85421,                0.68735,                 0.7767,                0.56352,                  1.114,                0.91026,                 1.3909,              0.0072082,              0.0072082,              0.0072082
                    143,                0.87701,                0.70073,                 1.1356,                0.83926,                 0.6954,                0.77705,                0.56311,                 1.1149,                0.91539,                  1.391,              0.0071884,              0.0071884,              0.0071884
                    144,                0.87293,                0.68794,                 1.1258,                0.85097,                0.68978,                0.77647,                0.56211,                 1.1153,                0.91969,                 1.3926,              0.0071686,              0.0071686,              0.0071686
                    145,                0.87838,                0.69729,                 1.1371,                 0.8484,                0.69689,                0.77989,                0.56334,                 1.1154,                0.92082,                 1.3925,              0.0071488,              0.0071488,              0.0071488
                    146,                0.86939,                0.68448,                 1.1261,                0.84476,                0.70179,                0.77991,                0.56256,                  1.114,                0.91842,                 1.3902,               0.007129,               0.007129,               0.007129
                    147,                0.86996,                0.67985,                 1.1231,                0.84493,                0.70479,                0.77789,                 0.5624,                 1.1139,                0.91489,                 1.3916,              0.0071092,              0.0071092,              0.0071092
                    148,                0.87125,                0.68402,                 1.1268,                0.84351,                0.70743,                0.77901,                0.56374,                 1.1138,                 0.9099,                 1.3921,              0.0070894,              0.0070894,              0.0070894
                    149,                0.87123,                0.68572,                 1.1294,                0.84481,                0.70801,                0.77936,                0.56271,                 1.1133,                0.90839,                 1.3922,              0.0070696,              0.0070696,              0.0070696
                    150,                0.87551,                0.69112,                 1.1339,                0.85105,                0.70125,                0.78008,                0.56308,                 1.1157,                 0.9064,                 1.3939,              0.0070498,              0.0070498,              0.0070498
                    151,                0.86767,                0.67943,                 1.1241,                0.85145,                0.69925,                0.77976,                0.56333,                 1.1169,                 0.9043,                 1.3958,                0.00703,                0.00703,                0.00703
                    152,                0.86649,                0.68064,                 1.1287,                0.85269,                0.69541,                0.78043,                0.56319,                 1.1177,                0.90533,                 1.3964,              0.0070102,              0.0070102,              0.0070102
                    153,                0.86919,                0.68496,                  1.124,                0.85406,                0.69663,                0.77966,                 0.5627,                 1.1182,                0.90511,                 1.3964,              0.0069904,              0.0069904,              0.0069904
                    154,                0.86936,                0.67996,                 1.1293,                0.84637,                0.70103,                0.77906,                0.56229,                 1.1195,                0.90509,                 1.3971,              0.0069706,              0.0069706,              0.0069706
                    155,                0.86075,                0.67745,                 1.1185,                0.84611,                0.70202,                 0.7788,                0.56216,                 1.1192,                0.90309,                 1.3991,              0.0069508,              0.0069508,              0.0069508
