                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4182,                 4.3873,                 1.4184,                0.09703,                0.16578,                0.03031,                0.02072,                 1.3675,                 3.4965,                 1.4679,              0.0033147,              0.0033147,              0.0033147
                      2,                 1.4384,                 3.2216,                 1.4721,                0.18889,                0.19897,                0.14553,                0.10162,                  1.272,                 2.7878,                 1.4197,              0.0066349,              0.0066349,              0.0066349
                      3,                 1.4185,                  2.659,                 1.4867,                0.27289,                0.39184,                0.25999,                0.17608,                 1.3196,                 2.4266,                 1.4615,              0.0099419,              0.0099419,              0.0099419
                      4,                 1.4159,                 2.3616,                 1.4918,                0.43554,                0.40232,                0.38519,                0.21817,                 1.6069,                 2.1745,                  1.721,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.391,                 2.1392,                 1.4774,                0.51385,                0.43747,                0.43646,                0.29204,                 1.3365,                 1.9745,                 1.4766,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3643,                 1.9812,                 1.4581,                0.57371,                0.46472,                0.51637,                0.36222,                  1.234,                 1.7282,                 1.4063,               0.009901,               0.009901,               0.009901
                      7,                 1.3405,                 1.8585,                 1.4382,                0.67492,                 0.5238,                0.59038,                 0.3934,                 1.2983,                 1.6082,                 1.4322,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.3303,                 1.7743,                 1.4418,                0.70393,                0.52242,                0.60755,                0.42682,                 1.2026,                 1.4722,                 1.3922,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.3163,                 1.7147,                 1.4297,                  0.666,                 0.5165,                0.58962,                0.40376,                 1.2507,                 1.5225,                 1.3965,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.2975,                 1.6468,                 1.4128,                0.71714,                0.55415,                0.64004,                0.44642,                 1.2023,                 1.3995,                 1.3792,              0.0098218,              0.0098218,              0.0098218
                     11,                  1.289,                 1.5906,                 1.4029,                0.73751,                0.54657,                0.63247,                0.42786,                 1.2591,                  1.398,                 1.4282,               0.009802,               0.009802,               0.009802
                     12,                 1.2755,                 1.5333,                 1.3966,                0.74987,                0.57514,                0.66707,                0.47316,                 1.1476,                 1.3102,                 1.3491,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.2563,                 1.4804,                  1.381,                0.75711,                0.59585,                0.68333,                0.41758,                 1.4663,                  1.297,                 1.5713,              0.0097624,              0.0097624,              0.0097624
